City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Lompoc,US,2021-05-31 15:21:58,overcast clouds,34.6391,-120.4579,59.38,100,90,3.62
60,Seoul,KR,2021-05-31 15:23:26,few clouds,37.5683,126.9778,65.71,77,20,3.18
61,Olafsvik,IS,2021-05-31 15:24:07,overcast clouds,64.8945,-23.7142,45.97,77,87,19.35
62,Norman Wells,CA,2021-05-31 15:24:07,overcast clouds,65.282,-126.8329,50.04,71,90,2.3
63,Kapaa,US,2021-05-31 15:24:08,clear sky,22.0752,-159.319,71.58,88,1,4.41
64,Kattivakkam,IN,2021-05-31 15:24:08,broken clouds,13.2167,80.3167,88.07,84,66,11.03
65,Imeni Poliny Osipenko,RU,2021-05-31 15:24:08,broken clouds,52.4201,136.4853,48.2,91,81,2.55
66,Businga,CD,2021-05-31 15:24:09,light rain,3.3333,20.8833,79.68,78,99,1.86
67,Vaini,TO,2021-05-31 15:24:09,overcast clouds,-21.2,-175.2,71.76,88,90,10.36
68,Emmauss,RU,2021-05-31 15:24:09,overcast clouds,56.7805,36.115,56.32,43,100,3.49
69,Narsaq,GL,2021-05-31 15:24:10,broken clouds,60.9167,-46.05,46.62,57,82,7.0
70,Lagoa,PT,2021-05-31 15:20:21,overcast clouds,39.05,-27.9833,61.21,85,100,19.69
71,Hambantota,LK,2021-05-31 15:24:10,broken clouds,6.1241,81.1185,81.34,80,68,20.69
72,Hirosaki,JP,2021-05-31 15:24:11,broken clouds,40.5931,140.4725,50.52,95,57,1.77
73,Udachnyy,RU,2021-05-31 15:24:11,broken clouds,66.4167,112.4,56.32,46,55,11.12
74,Avarua,CK,2021-05-31 15:24:12,overcast clouds,-21.2078,-159.775,68.05,77,87,3.44
75,Saskylakh,RU,2021-05-31 15:21:51,broken clouds,71.9167,114.0833,46.63,72,68,13.49
76,Cidreira,BR,2021-05-31 15:24:12,clear sky,-30.1811,-50.2056,58.1,42,0,7.87
77,Russell,US,2021-05-31 15:24:12,clear sky,32.3502,-85.1999,78.8,59,1,8.86
78,Axim,GH,2021-05-31 15:24:13,light rain,4.8699,-2.2405,81.0,81,93,10.42
79,Pangkalanbuun,ID,2021-05-31 15:24:13,broken clouds,-2.6833,111.6167,74.93,98,51,1.32
80,Tiksi,RU,2021-05-31 15:24:14,clear sky,71.6872,128.8694,34.47,90,10,4.0
81,Kutum,SD,2021-05-31 15:24:14,scattered clouds,14.2,24.6667,88.97,25,46,19.64
82,Bulancak,TR,2021-05-31 15:24:14,broken clouds,40.9372,38.2291,71.42,83,75,11.54
83,Teguldet,RU,2021-05-31 15:24:15,few clouds,57.3064,88.1667,53.44,59,23,6.33
84,Richards Bay,ZA,2021-05-31 15:21:05,broken clouds,-28.783,32.0377,66.72,66,77,13.2
85,Limbuhan,PH,2021-05-31 15:24:16,broken clouds,11.8838,124.0501,83.1,78,84,8.97
86,Leningradskiy,RU,2021-05-31 15:21:23,broken clouds,69.3833,178.4167,28.38,96,84,11.07
87,Thinadhoo,MV,2021-05-31 15:24:16,overcast clouds,0.5333,72.9333,84.4,71,95,18.03
88,Nelson Bay,AU,2021-05-31 15:24:17,clear sky,-32.7167,152.15,54.68,95,4,4.43
89,Berlevag,NO,2021-05-31 15:24:17,broken clouds,70.8578,29.0864,42.75,81,75,31.07
90,Emerald,AU,2021-05-31 15:24:17,clear sky,-23.5333,148.1667,53.74,71,5,5.75
91,Hasaki,JP,2021-05-31 15:24:18,broken clouds,35.7333,140.8333,61.29,70,84,4.81
92,Atuona,PF,2021-05-31 15:24:18,scattered clouds,-9.8,-139.0333,78.66,70,25,11.88
93,Padang,ID,2021-05-31 15:22:56,overcast clouds,-0.9492,100.3543,79.03,84,89,2.19
94,La Rioja,ES,2021-05-31 15:24:19,overcast clouds,42.25,-2.5,81.05,73,95,5.39
95,Nanortalik,GL,2021-05-31 15:24:19,scattered clouds,60.1432,-45.2371,38.73,78,50,13.0
96,Northam,GB,2021-05-31 15:21:44,broken clouds,51.0333,-4.2167,70.48,71,73,12.37
97,Kavieng,PG,2021-05-31 15:24:20,light rain,-2.5744,150.7967,78.22,89,100,5.99
98,Masvingo,ZW,2021-05-31 15:24:20,overcast clouds,-20.0637,30.8277,68.22,37,100,9.26
99,Upernavik,GL,2021-05-31 15:24:21,overcast clouds,72.7868,-56.1549,31.39,89,100,3.33
100,Sept-Iles,CA,2021-05-31 15:21:12,mist,50.2001,-66.3821,44.06,91,90,7.0
101,Adrar,MR,2021-05-31 15:24:21,overcast clouds,20.5022,-10.0711,103.69,13,96,3.53
102,Bambous Virieux,MU,2021-05-31 15:24:22,scattered clouds,-20.3428,57.7575,74.21,83,40,9.48
103,Puerto Ayora,EC,2021-05-31 15:24:22,broken clouds,-0.7393,-90.3518,80.56,88,83,5.01
104,Bengkulu,ID,2021-05-31 15:24:23,overcast clouds,-3.8004,102.2655,78.48,87,100,2.42
105,Biak,ID,2021-05-31 15:24:24,overcast clouds,-0.9131,122.8766,76.75,85,100,4.36
106,Labuhan,ID,2021-05-31 15:24:24,overcast clouds,-6.8844,112.2051,78.98,86,95,6.29
107,Butaritari,KI,2021-05-31 15:24:24,scattered clouds,3.0707,172.7902,82.6,77,36,15.99
108,Twin Falls,US,2021-05-31 15:24:25,clear sky,42.3505,-114.6445,65.93,30,1,9.17
109,San Ignacio,BZ,2021-05-31 15:24:25,clear sky,17.1561,-89.0714,84.34,70,0,5.32
110,Ahipara,NZ,2021-05-31 15:24:26,clear sky,-35.1667,173.1667,57.97,78,8,12.97
111,Pali,IN,2021-05-31 15:24:26,clear sky,25.7667,73.3333,97.52,24,0,17.07
112,Caravelas,BR,2021-05-31 15:20:00,few clouds,-17.7125,-39.2481,80.83,67,18,9.19
113,Olavarria,AR,2021-05-31 15:24:26,overcast clouds,-36.8927,-60.3225,54.1,65,100,10.74
114,Gavle,SE,2021-05-31 15:24:27,overcast clouds,60.6745,17.1417,64.0,33,100,1.99
115,Penzance,GB,2021-05-31 15:24:27,scattered clouds,50.1186,-5.5371,69.01,72,27,18.41
116,Maniitsoq,GL,2021-05-31 15:24:28,moderate rain,65.4167,-52.9,34.48,99,100,10.16
117,Urambo,TZ,2021-05-31 15:24:28,broken clouds,-5.0667,32.05,77.83,50,63,3.53
118,Yenagoa,NG,2021-05-31 15:23:05,overcast clouds,4.9247,6.2642,80.37,83,100,6.62
119,Marsa Matruh,EG,2021-05-31 15:24:29,clear sky,31.3525,27.2453,75.4,64,0,11.5
120,Grindavik,IS,2021-05-31 15:20:50,broken clouds,63.8424,-22.4338,51.75,76,75,21.99
121,Hohhot,CN,2021-05-31 15:24:30,clear sky,40.8106,111.6522,59.29,29,0,7.72
122,Saint-Pierre,RE,2021-05-31 15:24:30,clear sky,-21.3393,55.4781,73.08,80,0,3.44
123,Cayenne,GF,2021-05-31 15:24:30,broken clouds,4.9333,-52.3333,86.04,70,75,9.42
124,Kangaatsiaq,GL,2021-05-31 15:20:58,overcast clouds,68.3065,-53.4641,31.73,93,100,5.12
