City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Buala,SB,2021-05-26 01:12:32,-8.145,159.5921,82.09,80,98,13.04
68,Milton,US,2021-05-26 01:10:25,34.1322,-84.3007,83.52,68,49,3.22
69,Pisco,PE,2021-05-26 01:12:33,-13.7,-76.2167,65.01,94,90,3.44
70,Asgabat,TM,2021-05-26 01:12:33,37.95,58.3833,83.44,18,100,8.81
71,Coihaique,CL,2021-05-26 01:12:33,-45.5752,-72.0662,33.75,93,90,4.61
72,Shibetsu,JP,2021-05-26 01:12:34,43.659,145.132,54.55,67,65,6.89
73,Vaini,TO,2021-05-26 01:12:34,-21.2,-175.2,73.56,88,90,9.22
74,Hasaki,JP,2021-05-26 01:12:34,35.7333,140.8333,70.29,63,100,11.14
75,Touros,BR,2021-05-26 01:12:35,-5.1989,-35.4608,76.1,87,11,11.14
76,Tasiilaq,GL,2021-05-26 01:12:35,65.6145,-37.6368,35.76,90,100,48.05
77,Ancud,CL,2021-05-26 01:12:35,-41.8697,-73.8203,55.42,94,100,15.28
78,Lufilufi,WS,2021-05-26 01:12:36,-13.8745,-171.5986,85.78,76,23,15.14
79,East London,ZA,2021-05-26 01:12:36,-33.0153,27.9116,64.04,88,62,10.89
80,Bubaque,GW,2021-05-26 01:12:36,11.2833,-15.8333,78.93,73,93,4.34
81,Hami,CN,2021-05-26 01:12:37,42.8,93.45,78.39,13,0,9.71
82,Bethel,US,2021-05-26 01:12:37,41.3712,-73.414,69.3,74,1,3.44
83,Narsaq,GL,2021-05-26 01:12:37,60.9167,-46.05,35.82,72,27,2.35
84,Kumba,CM,2021-05-26 01:12:38,4.6363,9.4469,72.27,98,94,1.28
85,Analipsis,GR,2021-05-26 01:12:38,35.3167,25.5667,72.43,52,0,8.25
86,Lavrentiya,RU,2021-05-26 01:12:16,65.5833,-171.0,38.8,84,85,9.71
87,Zhigansk,RU,2021-05-26 01:12:38,66.7697,123.3711,52.52,52,100,5.1
88,Bolshaya Glushitsa,RU,2021-05-26 01:12:39,50.2406,43.5908,54.3,91,5,8.39
89,Narva-Joesuu,EE,2021-05-26 01:12:40,59.4589,28.0408,48.34,80,100,12.77
